"Ainsworth_Rookwood2" "Ainsworth_Rookwood3" "Badcock_RealLifeInLondon" "Bowring_MinorMorals1" "Bowring_MinorMorals2" "Cooper_LastMohicans_1" "Cooper_LastMohicans_2" "Cooper_LastMohicans_3" "Cooper_LastMohicans_4" "Cooper_TheBravo2" "Doyle_SherlockHolmes_1" "Doyle_SherlockHolmes_2" "Doyle_SherlockHolmes_3" "Doyle_SherlockHolmes_4" "Doyle_SignOfTheFour_1" "Edgeworth_HarryandLucy1" "Edgeworth_HarryandLucy2" "Edgeworth_HarryandLucy4" "Edgeworth_Helen" "Egan_LifeInLondon" "Ferrier_Destiny1" "Ferrier_Destiny2" "Galt_Spaewife1" "Galt_Spaewife3" "Gilman_RecollectionsofSouthernMatron" "Godwin_StLeon" "Hawthorne_TwiceToldTales_1" "Hawthorne_TwiceToldTales_2" "Hawthorne_TwiceToldTales_3" "Irving_BracebridgeHall1" "Irving_BracebridgeHall2" "Irving_SketchBookOfGeoffreyCrayon_1" "Irving_SketchBookOfGeoffreyCrayon_2" "Irving_SketchBookOfGeoffreyCrayon_4" "Landor_PericlesAndAspesia2" "Lytton_LastDayOfPompeii1" "Lytton_LastDayOfPompeii3" "Melville_MobyDick_2" "Melville_MobyDick_3" "Melville_MobyDick_4" "Poe_Assignation_1834" "Poe_Berenice_1835" "Poe_CaskOfAmontillado" "Poe_FactsOfTheCaseOfMValdemar_1845" "Poe_FallOfHouseUsher" "Poe_HopFrog_1849" "Poe_KingPest_1835" "Poe_Ligeia_1838" "Poe_MaskOfTheRedDeath" "Poe_Metzengerstein_1832" "Poe_Morella_1835" "Poe_Raven" "Poe_ShadowAParable_1835" "Poe_Tamerlane_1829" "Poe_TheManOfTheCrowd_1840" "Poe_TheMesmericRevelation_1844" "Poe_TheOvalPortrait_1842" "Poe_TheSphinx_1846" "Quincey_Klosterheim" "Scott_ChroniclesOftheCanongate1" "Scott_ChroniclesOftheCanongate2" "Scott_ChroniclesOftheCanongate3" "Scott_TheAbbot1" "Scott_TheAbbot3" "Scott_Woodstock1" "Scott_Woodstock2" "Scott_Woodstock3" "Southey_TheDoctor1"
"he" 1.42536719484842 1.24928392015159 1.00094813533384 1.46018970968669 1.44491934371984 1.08533035932867 1.26176102681242 1.3385205539081 1.30573161774707 1.07046212268453 1.45775941230487 1.71087380870364 1.0867901423542 1.35869565217391 1.47948890383322 1.1936771775442 1.25564057288601 1.31388893722917 1.21657695505667 0.797698710625102 1.4683565947806 1.04251839738348 1.36986301369863 1.23079442185411 0.939629793926685 0.90589613432253 0.938070955250743 0.905495704350198 0.580935497068049 1.74758971903632 1.50882322230344 1.21924185324762 0.598536909776103 1.53612263642986 0.979554930426483 1.23408036331326 1.33619185321833 0.747065101387407 0.680401761039852 0.817111729076988 0.857787810383747 0.250156347717323 2.26980728051392 0.678733031674208 0.7535584705554 0.748544496811755 0.469985045930357 0.0162337662337662 0.57923045097228 1.01684143628853 0 0.640439158279963 0.201005025125628 0.12853470437018 0.939635535307517 0.401606425702811 0.775795190069822 0.866738894907909 0.9185303514377 1.00192229277101 1.15034583181653 1.21189311253293 0.912001945604151 0.809100978054779 1.21266826262706 1.30093490915505 1.31067301155676 1.0865500934785
"it" 1.07083423775414 1.13911778962676 0.86039123057986 1.25898246622593 1.13056666207087 0.699072436961075 0.79675857943112 0.829773920613761 0.663746905688093 0.781915768385486 1.61463116008571 1.6228422704482 1.6493188427981 1.62278015921617 1.58384156946409 2.22439501344415 1.86562505573689 1.82204200964099 1.30847665310052 1.10168108372776 1.11355718468805 1.13171783245373 0.855487573772267 0.802336053270748 0.72992700729927 0.956006768189509 0.801723432685228 0.943679258148098 0.905495704350198 0.857472415068881 0.828373533813651 1.05139816955379 0.804382936947778 0.775979476134672 1.18048927512935 0.9754171191628 1.00214388991375 1.07295319408446 1.28266214336084 1.15424174317169 0.812641083521445 1.21951219512195 1.54175588865096 1.27262443438914 0.795422830030701 1.24757416135292 0.512710959196753 0.892857142857143 0.703351261894911 0.285986653956149 0.75685903500473 0.457456541628545 0.703517587939699 0.89974293059126 0.597949886104784 1.15127175368139 0.775795190069822 1.30010834236186 0.661798265632131 0.957262965767655 0.961048416454314 0.973529042780078 0.867415183819059 0.850400795960127 1.03999058121738 1.0010583877227 0.799456152277362 1.28010557571758
"with" 1.05274582157586 1.00030846516547 0.931501380618118 0.692727795343489 0.750034468495795 0.835078747653891 1.03605808451623 0.82705335038224 0.949375697070265 0.838728003946955 0.830272421181512 0.780801469743943 0.734731363845094 0.826699326393141 0.89279502817522 0.662022325429805 0.679544116860185 0.664775594730522 0.673931118988228 0.987432675044883 0.987453779896125 0.884561064446592 0.990849531647626 1.08342657533499 1.17352905593419 1.05037094884811 1.02806032014398 1.01731896904405 0.987317605345698 1.11210254847766 1.09289617486339 1.13056971846597 1.05456503151028 1.11487663509961 0.730898678856684 0.947773719024583 0.787754898539163 0.840448239060832 0.8309668566201 0.746638223305779 0.880361173814898 0.875547217010632 0.813704496788009 0.650452488687783 0.837287189506001 0.720820626559468 1.02542191839351 1.16883116883117 1.11708729830368 0.889736256752463 0.804162724692526 0.731930466605673 0.402010050251256 1.34961439588689 1.36674259681093 0.72289156626506 0.698215671062839 0.812567713976165 0.94705613874943 1.00386400264073 0.876107268535372 1.06887467068122 0.948482023428317 0.927368638420094 0.945802754993917 0.886399717763274 0.968048946295037 0.822610799516111
"as" 0.929744591563563 0.843872559820209 0.733557337236768 0.686979016958896 0.716944712532745 0.772515844735196 0.783162016642193 0.837935631308322 0.837844454721036 0.835737886285825 0.876186103458831 0.887970298924484 0.692637379458136 0.803735456215554 0.758296036917654 0.916646296748961 0.847200670626215 0.800515114073404 0.947442125071113 0.869103966051901 0.899822600294954 0.98676875046458 0.768855920732037 0.766858608738368 0.830745654716296 0.719770922816608 0.779907829074746 0.872766943951998 0.845492976953498 0.724716533548064 0.790087362082768 0.56686829021123 0.579535738037179 0.611281791404048 0.783643944341187 0.718728403593642 0.668095926609164 0.889998475377344 0.893861137052355 0.758066359376786 0.790067720090293 1.00062539086929 0.599571734475375 1.15950226244344 0.837287189506001 1.38619351261436 0.662251655629139 0.584415584415584 0.661977658254034 0.635525897680331 0.709555345316935 0.457456541628545 0.301507537688442 0.44987146529563 0.683371298405467 1.01740294511379 0.465477114041893 0.975081256771398 0.815837517115472 1.0504650395138 1.0071593253246 0.996110902019822 0.948482023428317 0.865418911562072 1.18519681331188 1.16863644381725 1.068660774983 0.985373364126251
"is" 0.734389696838145 0.680826686643458 1.03962207658272 0.850819200919805 0.920998207638219 0.666430922394799 0.511230760863654 0.574040318850831 0.503250727673349 0.922451298458594 1.12488521579431 1.03724116814024 1.10209704576764 1.03720146968769 1.06903508568513 1.10608653141041 0.920327465353951 0.800515114073404 0.614852741674325 0.922147870083238 0.639066407335371 0.758195198097079 0.557691266446478 0.526703599596103 0.568617171432028 0.498503188858519 0.45267377491751 0.619119050865948 0.512750579571799 0.74212714096063 0.569071734363579 0.851885866295088 0.747379421731007 0.649288949418807 1.03230019591099 0.957646361931089 0.850077279752705 0.707043756670224 1.1988031027845 0.556169288788999 0.72234762979684 0.562851782363977 0.856531049250535 0.42420814479638 0.111638291934133 0.360410313279734 0.21362956633198 0.25974025974026 0.165494414563508 0.285986653956149 0.709555345316935 1.28087831655993 0.301507537688442 0.83547557840617 0.341685649202733 2.81124497991968 0.155159038013964 0.433369447453955 0.290963030579644 0.790275916972486 0.849411479189419 0.800401455275373 0.6444813748936 0.668306144286546 0.647541305286292 0.619597812665373 0.715159755268525 0.802815352468932
"for" 0.676506765067651 0.696249944916935 0.85373764928973 0.891060649611957 0.824486419412657 0.541305116557408 0.647196388752923 0.56859917838779 0.508691276080629 0.832747768624695 0.746097337006428 0.639185516898228 0.711771008724935 0.681261481935089 0.68177074878835 0.659985333659252 0.743753009791856 0.812696865809303 0.77458316922673 0.765056308144279 0.910509329514609 0.92172749572586 0.877145487032324 0.761400540348771 0.871073113683107 0.648835090459456 0.559024842518611 0.493658802672849 0.570025910268649 0.587608000174106 0.624760711426682 0.506697913037971 0.573202014124204 0.532100212206632 0.796202340885116 0.693059532036726 0.710475145834372 0.809955785942979 0.726143055899674 0.746638223305779 0.564334085778781 0.469043151969981 0.642398286937901 0.84841628959276 0.739603684063634 0.859439977820904 0.534073915829951 0.405844155844156 0.206868018204386 0.317762948840165 0.75685903500473 0.365965233302836 0.50251256281407 0.6426735218509 0.484054669703872 0.589022757697456 0.930954228083786 0.487540628385699 0.696029210406207 0.877652861109493 0.902803057881325 0.812946932630787 0.78432167321957 0.837259944808425 0.735842392370786 0.837890280472746 0.861998640380693 1.06675464643132
"you" 0.669271398596339 1.05759485303838 0.582188362886324 0.847944811727508 0.581828209016959 0.476022087424857 0.443247946919019 0.408085534728079 0.331873452844047 0.270605648332262 1.45010713192531 1.23626899376124 1.39675493647635 1.59598897734231 1.24991303944531 1.84958852766235 1.31449872474004 1.34521344169292 1.31285282919785 0.612045046515424 0.816466112381644 1.69293094477068 0.714711137581894 0.657697240946429 0.237932007904182 0.677469738383444 0.209975184750893 0.220919132687849 0.447293058775399 0.1414611852271 0.0817931850614319 0.152009373911391 0.110840168477056 0.0475089475184493 0.693223489224896 0.744397275150558 0.279204267836666 0.36590943741424 0.604166269606815 0.247609614871814 0.338600451467269 0.0312695434646654 1.07066381156317 0.197963800904977 0.1255930784259 0.221790962018298 0.149540696432386 0 0 0.190657769304099 0 0.274473924977127 0 0.32133676092545 0 0.829986613119143 0 0.216684723726977 0.199680511182109 0.914545348634007 0.684382963232617 0.845565173754861 0.970775404320863 0.886068820514746 0.692672972018367 1.02751808079026 1.09041468388851 0.277136258660508
"had" 0.408798205629115 0.583880491781607 0.445374097608038 1.0232825524576 0.987177719564318 0.650110165111661 0.720617827813129 0.786244796909432 0.818802535295558 0.699687532704412 0.68870523415978 0.865005549814368 0.707944282871575 0.914727495407226 0.827864480671567 0.596838588772101 0.741969429432643 0.864904373248873 1.08529167213689 0.573282193569447 0.782268578878748 0.624396045491712 0.736369050841951 0.695903719673608 0.491994999395088 1.20070285044904 0.864443293065365 0.728214918859948 0.859129960452748 0.85529608914231 0.85447774181198 0.551033980428793 0.614371219558539 0.66512526525829 0.404380368714523 0.481784973837496 0.663110136112081 0.38877877725263 0.31256551487545 0.394270694449735 0.586907449209932 0.625390869293308 0.899357601713062 1.10294117647059 1.07451855986603 0.720820626559468 0.363170262764367 0.730519480519481 0.868845676458419 0.540197013028281 0.473036896877956 0.0914913083257091 0.402010050251256 0.38560411311054 0.882687927107061 0.34805890227577 1.08611326609775 1.24593716143012 1.02122318575993 0.594163220131648 0.512073777454192 0.494291807803287 0.695148149649386 0.546283955020744 0.567089203720419 0.765126124536955 0.611828687967369 0.532277576157484
"not" 0.857390926850445 0.839465914599216 0.506088026880468 0.796205806266168 0.747276988832207 0.446100699072437 0.465002447381302 0.46521750959001 0.454285792007834 0.829757650963565 0.68870523415978 0.589428560492977 0.451553650696464 0.704225352112676 0.442919091899914 1.16515929275646 1.063013894091 0.965838887632042 1.43319767187432 0.597763995430064 0.63692906149144 0.938452389801531 0.74719800747198 0.690445651284011 0.604911884502157 0.825849277625927 0.45267377491751 0.452747852175099 0.340924587481249 0.335154192691898 0.356757509310501 0.297685023909808 0.319853057605219 0.297722737782282 0.826342492590546 0.841149175634317 0.835119908261455 0.59460283579814 0.44788351216909 0.565692735514838 0.496613995485327 1.12570356472795 0.899357601713062 0.395927601809955 0.655874965113034 0.471305794288883 0.405896176030763 0.681818181818182 0.165494414563508 0.317762948840165 0.425733207190161 0.274473924977127 0.804020100502513 0.83547557840617 0.569476082004556 0.669344042838019 0.930954228083786 0.270855904658722 0.462117754450023 0.726199491272014 0.681956073292076 0.632292058712834 0.774188318268412 0.825996358106966 0.724068914092853 0.831275357205856 0.802175390890551 0.725833058396569
"but" 0.463063454163953 0.746926364958357 0.477810306397418 0.709974130497269 0.807941541431132 0.465141582569431 0.562897699461576 0.519628914220421 0.525012921302467 0.656330826618027 0.650443832262014 0.585601102307957 0.600795958977499 0.654470300061237 0.637710734410871 0.875906461337896 0.779424616976118 0.871865374240816 0.912432716292504 0.587563244654807 0.882723833543506 0.947743997621348 0.887974443662353 0.796877984881151 0.596846392708795 0.570089808668489 0.706280166889368 0.586390290467748 0.496386199372699 0.546257807569262 0.48031742716926 0.680875320644773 0.532032808689869 0.592278212396668 0.663083337519465 0.718728403593642 0.720446726828539 0.82329623418204 0.76997846347367 0.948535293893566 0.564334085778781 0.75046904315197 0.770877944325482 0.452488687782805 0.530281886687134 0.526753534793457 0.384533219397565 0.681818181818182 0.786098469176665 0.571973307912297 1.0879848628193 0.640439158279963 1.20603015075377 0.77120822622108 0.5125284738041 1.12449799196787 0.775795190069822 0.325027085590466 0.524874486535828 0.784450787363352 0.614003154956923 0.770292309622381 0.739734911434478 0.741519457846027 0.724068914092853 0.687952019756571 0.677090414683889 0.547674034971956
