"ADream_1831" "Berenice_1835" "CardboardBox_1" "Destiny3" "HarryandLucy3" "LastDayOfPompeii2" "MinorMorals3" "MobyDick_1" "PericlesAndAspesia1" "Rookwood1" "SketchBookOfGeoffreyCrayon_3" "Spaewife2" "TheAbbot2" "TheBravo1" "TheDoctor2" "TwiceToldTales_4"
"have" 0 0.250156347717323 1.08720795743697 0.688218781128317 0.452944136889784 0.453958787663002 0.649700138397663 0.33344130480346 0.992746267917708 0.536422030886975 0.427512825384762 0.548562472449429 0.604142172379488 0.651187856469215 0.689687639761787 0.496413277691406
"on" 1.49377593360996 0.187617260787992 0.520471894517696 0.378067554106674 0.617346082872001 0.518492144732743 0.630478240811933 0.512546919955033 0.482756913326567 0.26650266502665 0.61435176388625 0.543664593231131 0.540833860902596 0.471549827098397 0.270696513899678 0.523688732509615
"this" 0.24896265560166 0.0938086303939962 0.508905852417303 0.409761840079688 0.714645193759436 0.440607058614091 0.20759649392588 0.628775031915096 0.306983883346124 0.4510045100451 0.383178162011527 0.379585639418132 0.448584607036267 0.529932186643913 0.593178447849728 0.48004800480048
"from" 0.580912863070539 0.500312695434647 0.439509599814943 0.389386941954179 0.446233853380305 0.578574925452846 0.399815469783177 0.493493131109121 0.482756913326567 0.526171928385951 0.462347203749446 0.455502767301758 0.401555575653432 0.471549827098397 0.40957559494386 0.460955186427734
"said" 0 0.0938086303939962 0.370113347212584 0.627094086751788 1.2514678745177 0.538519738306111 0.45363678302322 0.264847664958177 0.282227118560147 0.194751947519475 0.063335233390335 0.462849586129206 0.826625666998282 0.211074684510711 0.153002377421557 0.215476093063852
"they" 0.24896265560166 0.218886804252658 0.219754799907472 0.267137553201123 0.516691830229827 0.580800213627665 0.59587882515762 0.268658422727359 0.638724531478226 0.249419160858275 0.414845778706695 0.269383357006416 0.354526544270598 0.413167467552881 0.562577972365417 0.319122821373046
"him" 0.16597510373444 0 0.335415220911404 0.273929185909626 0.405972152323436 0.349370243446526 0.449792403506074 0.607815864184593 0.398583913054242 0.515921825884926 0.177338653492938 0.634275358769653 0.378041059962015 0.211074684510711 0.454299366805546 0.33003300330033
"all" 0.0829875518672199 0.250156347717323 0.312283136710618 0.439192248483202 0.503271263210871 0.311540344474609 0.511302475780409 0.760246174951889 0.361448765875275 0.365586989203225 0.424346063715245 0.306117451143655 0.25504205480691 0.336821305070283 0.306004754843114 0.349125821673076
"she" 0.33195020746888 0.218886804252658 1.09877399953736 1.2949379697546 0.530112397248784 0.652009435221861 0.0845763493772105 0.0590667454223272 0.287178471517342 0.410004100041 0.0475014250427513 0.565705049713474 0.464863887130325 0.0673642610140567 0.207141680201492 0.398221640345853
"were" 0.16597510373444 0.531582238899312 0.416377515614157 0.319206737299647 0.439523569870827 0.371623125194713 0.47285868060895 0.299144484880819 0.321837942217711 0.413420800874675 0.392678447020077 0.359994122544938 0.300262277290404 0.309875600664661 0.388390650377798 0.392766549382211
"so" 0.0829875518672199 0.281425891181989 0.404811473513764 0.495789187720728 0.412682435832914 0.465085228537096 0.376749192680301 0.417277975725473 0.346594707003689 0.3416700833675 0.196339223510039 0.563256110104325 0.403364384552772 0.291911797727579 0.386036767648236 0.335488094263972
"their" 0.0829875518672199 0.500312695434647 0.127226463104326 0.192429593407589 0.288542190907566 0.369397837019894 0.634322620329079 0.186727130689938 0.410962295447231 0.23916905835725 0.500348343783647 0.252240779742372 0.3364384552772 0.462567925629856 0.416637243132547 0.474592913836838
"me" 0.746887966804979 0.813008130081301 0.728660652324775 0.532011228832745 0.34893474249287 0.462859940362277 0.449792403506074 0.514452298839624 0.675859678657193 0.3690036900369 0.180505415162455 0.323260028407699 0.367188206565976 0.238020388916334 0.141232963773745 0.231841365954777
"or" 0 0.500312695434647 0.266018968309045 0.267137553201123 0.593860090588827 0.275935733677511 0.388282331231739 0.299144484880819 0.418389324883024 0.256252562525625 0.240673886883273 0.191017289513641 0.435922944740888 0.30538464993039 0.508438669585481 0.362763549082181
"an" 0.16597510373444 0.34396497811132 0.277585010409438 0.267137553201123 0.23485992283174 0.253682851929325 0.307550361371675 0.272469180496542 0.269848736167158 0.358753587535875 0.475014250427513 0.208159866777685 0.291218232793705 0.390712713881529 0.353082409434362 0.452772549982271
"are" 0 0.218886804252658 0.312283136710618 0.339581635425156 0.359000167757088 0.29373803907606 0.515146855297555 0.221023950612579 0.854108385116233 0.1230012300123 0.288175311926024 0.151834255767253 0.287600614995026 0.363767009475906 0.416637243132547 0.190928183727464
"who" 0.16597510373444 0.0312695434646654 0.185056673606292 0.185637960699085 0.174467371246435 0.271485157327874 0.438259264954636 0.236266981689309 0.349070383482287 0.242585759190925 0.278675026917474 0.235098202478327 0.432305326942209 0.417658418287151 0.484899842289857 0.21002100210021
"one" 0.24896265560166 0.156347717323327 0.39324543141337 0.310151227021643 0.325448750209696 0.405002447816992 0.399815469783177 0.362021988072328 0.349070383482287 0.317753177531775 0.291342073595541 0.146936376548954 0.309306321787103 0.395203664615799 0.348374643975237 0.305485093963942
"no" 0.0829875518672199 0.437773608505316 0.323849178811011 0.332790002716653 0.251635631605435 0.320441497173884 0.284484084268799 0.358211230303146 0.386205530661253 0.47150471504715 0.155171321806321 0.38448351863643 0.271321334900968 0.264966093321956 0.386036767648236 0.275482093663912
"been" 0.16597510373444 0.281425891181989 0.532037936618089 0.409761840079688 0.224794497567522 0.173572477635854 0.296017222820237 0.169578720728617 0.24509197138118 0.3553368867022 0.421179302045728 0.244893960914924 0.217057067920774 0.282929896259038 0.470776545912483 0.338215639745793
"we" 0 0.0625390869293308 0.751792736525561 0.242234899936611 0.187887938265392 0.32711736169834 0.357527295094572 0.257226149419812 0.698140766964573 0.160584939182725 0.152004560136804 0.217955625214282 0.260468481504929 0.255984191853415 0.211849445660617 0.259116820772986
"will" 0 0.156347717323327 0.0809622947027527 0.30335959431314 0.332159033719175 0.204726512083315 0.33061663847455 0.148619552998114 0.4456217661476 0.2596692633593 0.063335233390335 0.404075035509624 0.439540562539568 0.282929896259038 0.240096038415366 0.204565911136568
"would" 0 0.125078173858662 0.439509599814943 0.375803676537173 0.275121623888609 0.157995460412123 0.272950945717361 0.213402435074214 0.306983883346124 0.249419160858275 0.12667046678067 0.335504726453446 0.24961562810889 0.193110881573629 0.371913471270861 0.27002700270027
"when" 0.0829875518672199 0.0625390869293308 0.42794355771455 0.285248573757131 0.459654420399262 0.262584004628599 0.365216054128864 0.264847664958177 0.319362265739113 0.2050020500205 0.228006840205206 0.274281236224715 0.200777787826716 0.341312255804554 0.357790174893487 0.218203638545673
"there" 0.33195020746888 0.312695434646654 0.42794355771455 0.276193063479127 0.31202818319074 0.193600071209222 0.315239120405966 0.438237143455976 0.314410912781918 0.263085964192975 0.272341503578441 0.173874712249596 0.184498507732658 0.372748910944447 0.40016006402561 0.291847366554837
"if" 0.16597510373444 0.0938086303939962 0.312283136710618 0.364484288689668 0.241570206341218 0.264809292803418 0.265262186683069 0.230550845035535 0.254994677295571 0.23916905835725 0.110836658433086 0.249791840133222 0.3364384552772 0.224547536713522 0.386036767648236 0.193655729209285
"what" 0.16597510373444 0.187617260787992 0.312283136710618 0.332790002716653 0.446233853380305 0.267034580978237 0.34983853606028 0.354400472533963 0.386205530661253 0.174251742517425 0.104503135094053 0.443258069256012 0.282174188297006 0.193110881573629 0.244803803874491 0.171835365354717
"your" 0 0 0.46264168401573 0.289776328896133 0.184532796510653 0.111264408740932 0.134553283100108 0.0895528075757864 0.284702795038744 0.0956676233429001 0.0221673316866173 0.301219571925356 0.513701727412499 0.170656127902277 0.0729703646164348 0.09000900090009
"upon" 0.0829875518672199 0.687929956222639 0.335415220911404 0.246762655075614 0.147626237208522 0.233655258355957 0.149930801168691 0.287712211573271 0.217859530116604 0.4646713133798 0.167838368484388 0.0979575843659695 0.153748756443882 0.0494004580769749 0.449591601346421 0.234568911436598
"more" 0 0.40650406504065 0.231320842007865 0.221860001811102 0.204663647039087 0.32711736169834 0.24604028909734 0.234361602804718 0.324313618696309 0.19816864835315 0.12667046678067 0.144487436939805 0.233336348014832 0.341312255804554 0.371913471270861 0.218203638545673
"them" 0.0829875518672199 0.312695434646654 0.277585010409438 0.190165715838087 0.382486160040262 0.24478169923005 0.322927879440258 0.171484099613208 0.532270442898522 0.160584939182725 0.190005700171005 0.168976833031297 0.157366374242561 0.188619930839359 0.313066403031801 0.218203638545673
